"","alpha.ini","beta.ini","a.ini","alpha.est","beta.est","a.est","iteration","nothing","convergence.code","min.value","tau.est","tau.reparam"
"53",-0.250307782553136,1.56519207172096,-0.56936270824898,0.491411402039838,-1.00185505126586,0.101299452040623,118,NA,0,1927.37329352184,0.00514023047389916,-0.187368707668101
"54",1.12183422595263,1.2625157115981,0.317762377438377,0.497483972631341,-1.02030769814348,0.0917953188973956,132,NA,0,1813.93734208056,0.920179269022478,0.744860685084591
"55",0.710687007755041,1.52279129996896,-0.937054257873891,0.504648457690297,-0.965247773350547,0.100791255049227,124,NA,0,1929.28044394944,0.219687640298551,0.0293248876935371
"56",-0.144714471884072,2.42309388145804,0.551297415229675,0.487128351491534,-0.982690379837885,0.0989350714347144,116,NA,0,1908.96470092017,0.0955922463298901,-0.0921746894867422
"57",0.558686665259302,1.47242718096823,0.330252030341182,0.50552890666607,-1.01580900752542,0.0965780782002573,94,NA,0,1861.67502046618,0.170908213934209,-0.0129017621877273
"58",1.47474813461304,1.73349508922547,0.203661290886851,0.496434788431543,-1.0007426456086,0.0986595098126471,128,NA,0,1897.6720489237,0.444153947145592,0.257343463819273
"59",0.338689471594989,1.84543096926063,0.243227920336258,0.499645798679551,-0.970583503491544,0.100300803438691,126,NA,0,1937.44082977346,0.124018591936357,-0.066561085886863
"60",-0.293681151233613,2.94435683172196,0.356769029906377,0.488210395105613,-0.997391094965224,0.103350592378016,128,NA,0,1962.90626201902,0.0951782182006308,-0.102395970657985
"61",0.604437817819417,1.49334949906915,-1.00584654200182,0.504758250662882,-1.04275808227728,0.100882426432851,108,NA,0,1885.61164905407,0.19537441592209,0.00469345886959099
"62",-2.18815051112324,-0.6430604159832,-0.842841573751298,0.508202781940552,-1.02105979369459,0.100318989326301,266,NA,0,1904.41492147464,0.147189878737314,-0.0430090599797359
"63",-2.04027183167636,2.87165194749832,0.566593048620819,0.494722004098929,-1.03491029971345,0.0975822113971673,160,NA,0,1880.04716901821,0.00934293205030284,-0.176794727777031
"64",1.41159196104854,1.5822214409709,-0.872909387614762,0.49888002872721,-0.992924682903968,0.100275078191135,130,NA,0,1910.75933108426,0.499620844770436,0.309449290199817
"65",0.0675669582560658,1.07958412915468,-0.381153970306199,0.498830919994742,-0.992032671943793,0.100129021101723,166,NA,0,1927.58378730212,-0.485909815610967,-0.675467489696551
"66",0.570914418436587,1.35032458789647,-0.304989419973584,0.500370130429994,-1.04878086092392,0.100238612665767,124,NA,0,1873.64395022216,0.220094338130918,0.0295534392808406
"67",0.67428323905915,2.63951100967824,-0.653989558469648,0.527504282869594,-1.04897483093498,0.099557143089273,190,NA,0,1876.82654483848,0.187040721809041,-0.00189877215476364
"68",0.67428323905915,2.63951100967824,-0.653989558469648,0.514023977295724,-1.04009725297681,0.0983449359985583,192,NA,0,1857.98510623272,0.228227139966645,0.043051322700885
"69",-0.671763837337494,1.25769583135843,0.293518604295369,0.514857013506792,-1.05974963439575,0.0997089371610399,140,NA,0,1875.06744492368,-0.128476175075047,-0.318817474808459
"70",0.909390379674733,2.58076636679471,0.912035836091577,0.51209232132441,-1.04110331903988,0.0956455445750383,188,NA,0,1838.51136607851,0.222104618330338,0.0405784379790545
"71",0.501753273420036,1.5568260345608,0.434772283043857,0.519659039810265,-1.04286490172012,0.0999984298097755,98,NA,0,1889.26961230008,0.145896330709516,-0.0441026899873935
"72",0.982473501004279,2.5571142071858,0.554495454708539,0.495031083372499,-0.999956784245828,0.104479712837601,140,NA,0,1965.752891041,0.246449161823287,0.0488258239163957
"73",0.265972966328263,1.87182394601405,0.273148195806202,0.48430403460092,-0.981966104659315,0.0959757215952684,152,NA,0,1872.66716969013,0.117804605326542,-0.0648438615734178
